Date,C_Cows,C_Heifer1to3,C_Bull,C_Calves,C_1t2,C_2plus,Ponies,P_Sows,P_Boars,P_Porker,RD_Calves,RD_Hinds,RD_Stags,FD_Does,FD_Bucks,FD_Prickets,FD_Fawn
31-Mar-10,45,0,1,31,0,0,11,7,0,28,0,0,0,20,0,5,5
31-Mar-11,45,21,1,14,11,0,13,8,0,9,0,0,0,40,6,0,35
31-Mar-12,40,29,0,30,6,11,15,9,0,13,0,0,0,40,6,0,35
31-Mar-13,53,20,2,26,17,11,17,14,2,17,0,0,0,50,10,5,35
31-Mar-14,42,58,5,139,8,12,10,6,0,0,0,10,3,50,10,5,35
31-Mar-15,40,17,2,27,24,0,10,5,0,13,0,10,3,50,10,5,35
31-Mar-16,32,22,4,24,11,0,11,7,0,2,0,14,12,100,20,20,0
31-Mar-17,27,23,5,29,10,0,10,4,0,3,0,6,8,86,79,0,0
31-Mar-18,24,23,3,28,8,0,8,7,0,9,0,16,8,158,68,18,7
removed,5,35,1,54,8,8,8,4,0,16,2,5,3,19,24,11,10
