Family,Detritivore,Fungivore,Herbivore,Omnivore,Parasite,Parasitoid,Predator,Saprophyte,Scavenger
Crabronidae,0,0,1,0,0,0,1,0,0
Entomobryidae,1,0,0,0,0,0,0,0,0
Isotomidae,1,0,0,0,0,0,0,0,0
Macrosternodesmidae,1,0,0,0,0,0,0,0,0
Oniscidae,1,0,0,0,0,0,0,0,0
Pyroglyphidae,1,0,0,0,0,0,0,0,0
Camillidae,1,0,0,0,0,0,0,0,0
Latridiidae,0,1,1,0,0,0,0,0,0
Platypezidae,0,1,0,0,0,0,0,0,0
Sciaridae,0,1,0,0,0,0,0,0,0
Sphaeroceridae,1,1,0,0,0,0,0,1,0
Tetranychidae,0,0,1,0,0,0,0,0,0
Apionidae,0,0,1,0,0,0,0,0,0
Aphididae,0,0,1,0,0,0,0,0,0
Cicadellidae,0,0,1,0,0,0,0,0,0
Delphacidae,0,0,1,0,0,0,0,0,0
Anthribidae,0,1,1,0,0,0,1,1,0
Psychodidae,0,0,0,0,0,0,1,0,0
Syrphidae,0,1,1,0,0,0,1,1,0
Periscelididae,0,0,0,0,0,0,0,1,0
Dolichopodidae,0,0,1,0,0,0,1,0,0
Staphylinidae,0,1,0,0,0,0,1,1,0
Muscidae,0,0,0,0,0,0,1,1,0
Forficulidae,0,0,0,1,0,0,0,0,1
Trombiculidae,0,0,0,0,1,0,0,0,0
Diapriidae,0,0,0,0,0,1,0,0,0
Mymaridae,0,0,0,0,0,1,0,0,0
Sciomyzidae,0,0,0,0,0,1,1,0,0
Agelenidae,0,0,0,0,0,0,1,0,0
Carabidae,0,0,0,0,0,0,1,0,0
Clubionidae,0,0,0,0,0,0,1,0,0
Coccinellidae,0,0,0,0,0,0,1,0,0
Formicidae,0,0,0,0,0,0,1,0,0
Gnaphosidae,0,0,0,0,0,0,1,0,0
Hahniidae,0,0,0,0,0,0,1,0,0
Linyphiidae,0,0,0,0,0,0,1,0,0
Lithobiidae,0,0,0,0,0,0,1,0,0
Lycosidae,0,0,0,0,0,0,1,0,0
Miturgidae,0,0,0,0,0,0,1,0,0
Pompilidae,0,0,0,0,0,0,1,0,0
Rhagionidae,0,0,0,0,0,0,1,0,0
Tetragnathidae,0,0,0,0,0,0,1,0,0
Ichneumonidae,0,0,0,0,0,1,1,0,0
Nemastomatidae,0,0,0,0,0,0,1,0,1
Phalangiidae,0,0,0,0,0,0,1,0,1
Scathophagidae,1,0,1,0,0,0,1,0,0
Fanniidae,0,0,0,0,0,0,0,1,0
Asteiidae,0,0,0,0,0,0,0,1,0
Diastatidae,0,0,0,0,0,0,0,1,0
Carnidae,1,0,0,0,1,0,0,1,0
Anthomyiidae,0,0,1,0,0,0,0,1,0
Panorpidae,0,0,0,0,0,0,0,0,1
Phoridae,0,0,0,0,1,1,1,0,1
