Site,Treatment,pH,P,K,TN,TC
Brook5,E,5.7,35,300,0.22,2.11
Brook5,C,6,39,357,0.25,2.18
Brook5,C,5.8,39,356,0.23,2.22
Brook6,C,6.2,21,211,0.31,3.28
Brook6,C,6.3,19,178,0.27,2.65
Brook6,E,6.9,24,206,0.31,2.95
Brookbuild,C,6.2,35,357,0.4,3.76
Brookbuild,C,6,32,484,0.36,3.48
Brookbuild,E,6.1,35,384,0.4,3.58
Broomers,C,6.2,9,86,0.17,1.66
Broomers,C,6.3,11,81,0.17,1.66
Broomers,E,6.7,13,98,0.15,1.65
NewBarn,E,5.2,10,118,0.23,2.41
NewBarn,C,5.5,16,148,0.23,2.38
NewBarn,C,5.4,13,147,0.25,2.36
Rainbow,C,6.7,28,121,0.23,2.42
Rainbow,C,7,22,100,0.17,1.86
Rainbow,E,6.8,15,104,0.16,1.56
27Acres,C,5.4,18,89,0.14,1.5
27Acres,C,5.8,18,99,0.13,1.29
27Acres,E,5.7,15,90,0.12,1.2
WaterWorks,C,5.5,11,110,0.25,2.22
WaterWorks,C,5.9,11,77,0.24,2.18
WaterWorks,E,5.7,12,64,0.23,2.06
Wildflower,C,5.5,8,94,0.22,2.13
Wildflower,C,5.1,7,92,0.2,2.06
Wildflower,E,5.5,9,117,0.25,2.59
