height_m,C_stem_t
0.6,0.0000182
0.7,0.000025
0.8,0.0000328
0.9,0.0000418
1,0.0000519
1.1,0.0000631
1.2,0.0000754
1.3,0.0000889
1.4,0.0001036
1.5,0.0001194
1.6,0.0001365
1.7,0.0001547
1.8,0.0001742
1.9,0.0001949
2,0.0002168
2.1,0.00024
2.2,0.0002645
2.3,0.0002903
2.4,0.0003174
2.5,0.0003459
2.6,0.0003757
2.7,0.0004069
2.8,0.0004395
2.9,0.0004736
3,0.000509
3.1,0.000546
3.2,0.0005845
3.3,0.0006245
3.4,0.0006661
3.5,0.0007093
3.6,0.0007541
3.7,0.0008006
3.8,0.0008488
3.9,0.0008987
4,0.0009504
4.1,0.0010039
4.2,0.0010593
4.3,0.0011166
4.4,0.0011759
4.5,0.0012372
4.6,0.0013005
4.7,0.001366
4.8,0.0014336
4.9,0.0015034
5,0.0015756
5.1,0.0016501
5.2,0.001727
5.3,0.0018065
5.4,0.0018885
5.5,0.0019732
5.6,0.0020606
5.7,0.0021509
5.8,0.002244
5.9,0.0023402
6,0.0024396
6.1,0.0025421
6.2,0.002648
6.3,0.0027574
6.4,0.0028703
6.5,0.002987
6.6,0.0031076
6.7,0.0032321
6.8,0.0033608
6.9,0.0034939
