Site,Treatment,drymass_g,vol_cm,LOI
27Acres,E,354.48,350,4.79
27Acres,E,328.51,350,4.54
27Acres,C,295.85,350,5.71
27Acres,C,362.31,350,4.59
Brook5,E,292.49,350,7.44
Brook5,E,261.82,350,6.49
Brook5,C,341.38,350,6.33
Brook5,C,229.04,350,8.44
Brook6,E,248.84,350,9.86
Brook6,E,210.17,350,10.81
Brook6,C,217.95,350,9.55
Brook6,C,330.85,350,9.17
Brookbuild,E,277.71,350,10.06
Brookbuild,E,283.48,350,11.28
Brookbuild,C,265.42,350,12.38
Brookbuild,C,329.6,350,9.92
Broomers,E,299.17,350,5.63
Broomers,E,315.39,350,6.44
Broomers,C,269.33,350,7.71
Broomers,C,299.1,350,7
NewBarn,E,325.33,350,7.96
NewBarn,E,304.7,350,8.53
NewBarn,C,345.17,350,8.9
NewBarn,C,278.67,350,8.26
Oakland,E,279.03,350,10.54
Oakland,E,264.64,350,13.89
Oakland,C,263.77,350,14.34
Oakland,C,232.82,350,18.2
Rainbow,E,275.02,350,8.94
Rainbow,E,298.43,350,6.84
Rainbow,C,306.38,350,5.17
Rainbow,C,389.42,350,7.27
WaterWorks,E,281.59,350,8.12
WaterWorks,E,267.83,350,7.17
WaterWorks,C,238.32,350,8.06
WaterWorks,C,258.38,350,7.55
Wildflower,E,176.98,250,6.86
Wildflower,E,213.07,300,7.25
Wildflower,C,280.91,350,8.24
Wildflower,C,263.66,350,8.76
